Samples,Treatment,Replicate,Category,Week,µgCO2-Cgsoilday,µgCO2-Cgsoil
1,Control,1,Control,T02,25.96342409,363.4879373
2,Control,2,Control,T02,24.32419578,340.5387409
3,Control,3,Control,T02,25.55238907,357.733447
4,Control,4,Control,T02,26.45924476,370.4294267
5,Lime,1,AGamend,T02,74.52118024,1043.296523
6,Lime,2,AGamend,T02,35.43202138,496.0482993
7,Lime,3,AGamend,T02,36.81585267,515.4219373
8,Lime,4,AGamend,T02,40.8918567,572.4859938
9,CitricAcid,1,Csubstrate,T02,56.53569925,791.4997895
10,CitricAcid,2,Csubstrate,T02,59.54686747,833.6561446
11,CitricAcid,3,Csubstrate,T02,55.95023835,783.3033369
12,CitricAcid,4,Csubstrate,T02,58.92677628,824.9748679
13,H2O2,1,Stress,T02,58.12497506,813.7496509
14,H2O2,2,Stress,T02,61.21369895,856.9917853
15,H2O2,3,Stress,T02,57.09989521,799.398533
16,H2O2,4,Stress,T02,86.52202871,1211.308402
17,Inositol,1,Csubstrate,T02,30.88900414,432.446058
18,Inositol,2,Csubstrate,T02,47.46672774,664.5341884
19,Inositol,3,Csubstrate,T02,26.790078,375.061092
20,Inositol,4,Csubstrate,T02,26.86833671,376.156714
21,PoultryLitter,1,AGamend,T02,77.47581132,1084.661358
22,PoultryLitter,2,AGamend,T02,80.28431784,1123.98045
23,PoultryLitter,3,AGamend,T02,95.72130803,1340.098312
24,PoultryLitter,4,AGamend,T02,78.85497923,1103.969709
25,Biochar,1,AGamend,T02,40.39237655,565.4932718
26,Biochar,2,AGamend,T02,33.99707187,475.9590061
27,Biochar,3,AGamend,T02,36.48395415,510.7753581
28,Biochar,4,AGamend,T02,36.64167023,512.9833832
29,SodiumFormate,1,Csubstrate,T02,71.70957946,1003.934113
30,SodiumFormate,2,Csubstrate,T02,47.94370329,671.2118461
31,SodiumFormate,3,Csubstrate,T02,78.21582961,1095.021615
32,SodiumFormate,4,Csubstrate,T02,45.52295053,637.3213074
33,SodiumAcetate,1,Csubstrate,T02,50.32803144,704.5924402
34,SodiumAcetate,2,Csubstrate,T02,51.69495739,723.7294035
35,SodiumAcetate,3,Csubstrate,T02,51.35786874,719.0101623
36,SodiumAcetate,4,Csubstrate,T02,50.01020442,700.1428619
37,FumaricAcid,1,Csubstrate,T02,65.777254,920.881556
38,FumaricAcid,2,Csubstrate,T02,58.44130676,818.1782946
39,FumaricAcid,3,Csubstrate,T02,77.8655617,1090.117864
40,FumaricAcid,4,Csubstrate,T02,85.38921025,1195.448944
41,AutoclavedControl,1,Stress,T02,2.045071694,28.63100371
42,AutoclavedControl,2,Stress,T02,15.40757315,215.7060242
43,AutoclavedControl,3,Stress,T02,5.06430717,70.90030038
44,AutoclavedControl,4,Stress,T02,8.949514758,125.2932066
1,Control,1,Control,T04,16.09931793,225.390451
2,Control,2,Control,T04,15.69479526,219.7271336
3,Control,3,Control,T04,16.41287768,229.7802875
4,Control,4,Control,T04,17.20284961,240.8398945
5,Lime,1,AGamend,T04,19.84066761,277.7693466
6,Lime,2,AGamend,T04,20.09111246,281.2755744
7,Lime,3,AGamend,T04,20.06061573,280.8486202
8,Lime,4,AGamend,T04,20.77209093,290.809273
9,CitricAcid,1,Csubstrate,T04,20.7140103,289.9961443
10,CitricAcid,2,Csubstrate,T04,20.8097065,291.335891
11,CitricAcid,3,Csubstrate,T04,20.59264204,288.2969885
12,CitricAcid,4,Csubstrate,T04,21.3067538,298.2945532
13,H2O2,1,Stress,T04,27.99091579,391.8728211
14,H2O2,2,Stress,T04,30.73318726,430.2646216
15,H2O2,3,Stress,T04,27.44989647,384.2985506
16,H2O2,4,Stress,T04,26.41030415,369.7442582
17,Inositol,1,Csubstrate,T04,16.55934191,231.8307868
18,Inositol,2,Csubstrate,T04,17.40664783,243.6930696
19,Inositol,3,Csubstrate,T04,17.14014799,239.9620719
20,Inositol,4,Csubstrate,T04,17.14724465,240.0614251
21,PoultryLitter,1,AGamend,T04,31.21920635,437.0688889
22,PoultryLitter,2,AGamend,T04,32.54366141,455.6112598
23,PoultryLitter,3,AGamend,T04,27.46198547,384.4677966
24,PoultryLitter,4,AGamend,T04,31.00838211,434.1173496
25,Biochar,1,AGamend,T04,21.52926314,301.409684
26,Biochar,2,AGamend,T04,20.32308241,284.5231538
27,Biochar,3,AGamend,T04,22.75343362,318.5480706
28,Biochar,4,AGamend,T04,26.53865244,371.5411341
29,SodiumFormate,1,Csubstrate,T04,20.49228379,286.8919731
30,SodiumFormate,2,Csubstrate,T04,22.01707451,308.2390432
31,SodiumFormate,3,Csubstrate,T04,20.59612535,288.3457549
32,SodiumFormate,4,Csubstrate,T04,19.74153598,276.3815037
33,SodiumAcetate,1,Csubstrate,T04,21.67234911,303.4128875
34,SodiumAcetate,2,Csubstrate,T04,20.12729801,281.7821722
35,SodiumAcetate,3,Csubstrate,T04,21.03114459,294.4360243
36,SodiumAcetate,4,Csubstrate,T04,22.01817626,308.2544676
37,FumaricAcid,1,Csubstrate,T04,18.99706629,265.9589281
38,FumaricAcid,2,Csubstrate,T04,18.20930072,254.93021
39,FumaricAcid,3,Csubstrate,T04,17.0092189,238.1290646
40,FumaricAcid,4,Csubstrate,T04,18.17083866,254.3917413
41,AutoclavedControl,1,Stress,T04,55.2624387,773.6741418
42,AutoclavedControl,2,Stress,T04,47.56204317,665.8686044
43,AutoclavedControl,3,Stress,T04,81.87273344,1146.218268
44,AutoclavedControl,4,Stress,T04,69.46545395,972.5163553
1,Control,1,Control,T06,13.82904959,200.5212191
2,Control,2,Control,T06,18.57602438,269.3523535
3,Control,3,Control,T06,17.08943471,247.7968033
4,Control,4,Control,T06,15.51510105,224.9689652
5,Lime,1,AGamend,T06,18.60652566,269.7946221
6,Lime,2,AGamend,T06,19.82002991,287.3904336
7,Lime,3,AGamend,T06,20.19930821,292.889969
8,Lime,4,AGamend,T06,20.97950776,304.2028625
9,CitricAcid,1,Csubstrate,T06,19.34162192,280.4535178
10,CitricAcid,2,Csubstrate,T06,19.16777711,277.932768
11,CitricAcid,3,Csubstrate,T06,17.63055439,255.6430386
12,CitricAcid,4,Csubstrate,T06,17.84632213,258.7716709
13,H2O2,1,Stress,T06,22.22370767,322.2437612
14,H2O2,2,Stress,T06,23.46295431,340.2128375
15,H2O2,3,Stress,T06,22.83198509,331.0637839
