"","Samples","Treatment","Replicate","Category","Week","µgCO2.Cgsoilday","µgCO2.Cgsoil","Week_int","µgCO2gsoilcum"
"1","1","Control","1","Control","T02",25.96600579,363.5240811,2,363.5240811
"2","2","Control","2","Control","T02",24.32887643,340.60427,2,340.60427
"3","3","Control","3","Control","T02",25.55562296,357.7787215,2,357.7787215
"4","4","Control","4","Control","T02",26.46137867,370.4593014,2,370.4593014
"5","5","Lime","1","AGamend","T02",74.45638805,1042.389433,2,1042.389433
"6","6","Lime","2","AGamend","T02",35.42171566,495.9040193,2,495.9040193
"7","7","Lime","3","AGamend","T02",36.80325398,515.2455557,2,515.2455557
"8","8","Lime","4","AGamend","T02",40.87369376,572.2317127,2,572.2317127
"9","9","CitricAcid","1","Csubstrate","T02",56.49537048,790.9351867,2,790.9351867
"10","10","CitricAcid","2","Csubstrate","T02",59.50362671,833.050774,2,833.050774
"11","11","CitricAcid","3","Csubstrate","T02",55.91056283,782.7478796,2,782.7478796
"12","12","CitricAcid","4","Csubstrate","T02",58.88337254,824.3672156,2,824.3672156
"13","13","H2O2","1","Stress","T02",58.08303202,813.1624483,2,813.1624483
"14","14","H2O2","2","Stress","T02",61.16825559,856.3555782,2,856.3555782
"15","15","H2O2","3","Stress","T02",57.05907457,798.827044,2,798.827044
"16","16","H2O2","4","Stress","T02",86.44051457,1210.167204,2,1210.167204
"17","17","Inositol","1","Csubstrate","T02",30.88440384,432.3816537,2,432.3816537
"18","18","Inositol","2","Csubstrate","T02",47.43959683,664.1543557,2,664.1543557
"19","19","Inositol","3","Csubstrate","T02",26.79139564,375.079539,2,375.079539
"20","20","Inositol","4","Csubstrate","T02",26.86953134,376.1734387,2,376.1734387
"21","21","PoultryLitter","1","AGamend","T02",77.40659757,1083.692366,2,1083.692366
"22","22","PoultryLitter","2","AGamend","T02",80.21141037,1122.959745,2,1122.959745
"23","23","PoultryLitter","3","AGamend","T02",95.62675743,1338.774604,2,1338.774604
"24","24","PoultryLitter","4","AGamend","T02",78.78400754,1102.976106,2,1102.976106
"25","25","Biochar","1","AGamend","T02",40.37462226,565.2447116,2,565.2447116
"26","26","Biochar","2","AGamend","T02",33.98804832,475.8326765,2,475.8326765
"27","27","Biochar","3","AGamend","T02",36.47188566,510.6063992,2,510.6063992
"28","28","Biochar","4","AGamend","T02",36.62940908,512.8117271,2,512.8117271
"29","29","SodiumFormate","1","Csubstrate","T02",71.64882853,1003.083599,2,1003.083599
"30","30","SodiumFormate","2","Csubstrate","T02",47.91565007,670.819101,2,670.819101
