Id,Samples,Treatment,Replicate,Category,Week,pH,EC,,,"1g soil in 5ml 0.01M CaCl2, shaken end-on-end 1hr, centrifuged 2000rpm 2min"
1,1,Control,1,Control,T0,,,,,"1g soil in 5ml MQ water, shaken end-on-end 1hr, centrifuged 2000rpm 2min"
2,2,Control,2,Control,T0,,,,,
3,3,Control,3,Control,T0,,,,,"﻿Thermo Orion 720A+, Beverly, MA, USA"
4,4,Control,4,Control,T0,,,,,"﻿Hanna Instruments, Hi 1053, USA"
5,5,Lime,1,AGamend,T0,,,,,
6,6,Lime,2,AGamend,T0,,,,,
7,7,Lime,3,AGamend,T0,,,,,
8,8,Lime,4,AGamend,T0,,,,,
9,9,CitricAcid,1,Csubstrate,T0,,,,,
10,10,CitricAcid,2,Csubstrate,T0,,,,,
11,11,CitricAcid,3,Csubstrate,T0,,,,,
12,12,CitricAcid,4,Csubstrate,T0,,,,,
13,13,H2O2,1,Stress,T0,,,,,
14,14,H2O2,2,Stress,T0,,,,,
15,15,H2O2,3,Stress,T0,,,,,
16,16,H2O2,4,Stress,T0,,,,,
17,17,Inositol,1,Csubstrate,T0,,,,,
18,18,Inositol,2,Csubstrate,T0,,,,,
19,19,Inositol,3,Csubstrate,T0,,,,,
20,20,Inositol,4,Csubstrate,T0,,,,,
21,21,PoultryLitter,1,AGamend,T0,,,,,
22,22,PoultryLitter,2,AGamend,T0,,,,,
23,23,PoultryLitter,3,AGamend,T0,,,,,
24,24,PoultryLitter,4,AGamend,T0,,,,,
25,25,Biochar,1,AGamend,T0,,,,,
26,26,Biochar,2,AGamend,T0,,,,,
27,27,Biochar,3,AGamend,T0,,,,,
28,28,Biochar,4,AGamend,T0,,,,,
29,29,SodiumFormate,1,Csubstrate,T0,,,,,
30,30,SodiumFormate,2,Csubstrate,T0,,,,,
31,31,SodiumFormate,3,Csubstrate,T0,,,,,
32,32,SodiumFormate,4,Csubstrate,T0,,,,,
33,33,SodiumAcetate,1,Csubstrate,T0,,,,,
34,34,SodiumAcetate,2,Csubstrate,T0,,,,,
35,35,SodiumAcetate,3,Csubstrate,T0,,,,,
36,36,SodiumAcetate,4,Csubstrate,T0,,,,,
37,37,FumaricAcid,1,Csubstrate,T0,,,,,
38,38,FumaricAcid,2,Csubstrate,T0,,,,,
