id,SampleID,Project,TWeeks,SampleNo,Replicate,Treatment,SampleName,GCArea_Dieldrin,GCArea_DDD,InjectionDate
re,167,M3,re,1,1,ref_garretto,refextract1.run,349584,661985,2-Dec-19
re,166,M3,re,2,2,ref_garretto,refextract2.run,366018,672073,2-Dec-19
re,135,M3,re,3,3,ref_garretto,refextract3.run,341570,673382,28-Nov-19
re,134,M3,re,4,4,ref_garretto,refextract4.run,321288,615244,28-Nov-19
re,133,M3,re,5,5,ref_garretto,ref5_garretto.run,385884,725322,16-Dec-19
re,132,M3,re,6,6,ref_garretto,ref6_garretto.run,414537,790956,16-Dec-19
1,34,M3,T0,1,1,Control,t0__01_e2c1.run,259957,468052,26-Jun-19
2,33,M3,T0,2,2,Control,t0__02_e3c1.run,289114,537227,26-Jun-19
3,170,M3,T0,3,3,Control,t0_03_04mar.run,245698,,5-Mar-19
4,171,M3,T0,4,4,Control,t0_4.run,265555,,28-Feb-19
5,57,M3,T0,5,1,Lime,t0__05_e1.run,267933,532618,1-Jul-19
6,56,M3,T0,6,2,Lime,t0__06_e1.run,237378,475524,1-Jul-19
7,55,M3,T0,7,3,Lime,t0__07_e1.run,161835,325162,1-Jul-19
8,54,M3,T0,8,4,Lime,t0__08_e1.run,164066,333442,1-Jul-19
9,17,M3,T0,9,1,CitricAcid,t0__09_e2c1,210977,403179,19-Jun-19
10,119,M3,T0,10,2,CitricAcid,m3_t0_10_e2.run,350697,688078,15-Aug-19
11,118,M3,T0,11,3,CitricAcid,m3_t0_11_e2.run,305451,630200,15-Aug-19
12,16,M3,T0,12,4,CitricAcid,t0__12_e2c1,222537,419483,19-Jun-19
13,53,M3,T0,13,1,H2O2,t0__13_e1.run,259772,534481,1-Jul-19
14,52,M3,T0,14,2,H2O2,t0__14_e1.run,251434,509276,1-Jul-19
15,51,M3,T0,15,3,H2O2,t0__15_e1.run,250129,502364,1-Jul-19
16,50,M3,T0,16,4,H2O2,t0__16_e1.run,262826,551128,1-Jul-19
17,15,M3,T0,17,1,Inositol,t0__17_e2c1.run,233718,443779,19-Jun-19
18,117,M3,T0,18,2,Inositol,m3_t0_18_e2.run,325187,661300,15-Aug-19
19,32,M3,T0,19,3,Inositol,t0__19_e2c1.run,243646,459808,26-Jun-19
20,116,M3,T0,20,4,Inositol,m3_t0_20_e2.run,319318,647498,15-Aug-19
21,49,M3,T0,21,1,PoultryLitter,t0__21_e1.run,254971,523192,1-Jul-19
22,48,M3,T0,22,2,PoultryLitter,t0__22_e1.run,249535,499796,1-Jul-19
23,47,M3,T0,23,3,PoultryLitter,t0__23_e1.run,239042,502592,1-Jul-19
